school,enrollment,coverage_pct,tier,estimated_K_pct,estimated_1st_pct,estimated_2nd_pct,estimated_3rd_pct,estimated_4th_pct,estimated_5th_pct,reported_K_pct,reported_1st_pct,reported_2nd_pct,reported_3rd_pct,reported_4th_pct,reported_5th_pct
Arapahoe Charter School,217,97.6,High,96.0,100.0,96.0,95.0,97.0,100.0,,100.0,96.0,95.0,97.0,100.0
Grace Fellowship Academy,4,70.3,Low,,,,,,,,,,,,
Pamlico Christian Academy,128,82.8,Low,83.0,91.0,72.0,78.0,85.0,86.0,,91.0,72.0,78.0,,
Pamlico County Primary,425,96.6,High,97.0,96.0,100.0,89.0,97.0,100.0,,96.0,100.0,89.0,,100.0
