school,enrollment,coverage_pct,tier,estimated_K_pct,estimated_1st_pct,estimated_2nd_pct,estimated_3rd_pct,estimated_4th_pct,estimated_5th_pct,reported_K_pct,reported_1st_pct,reported_2nd_pct,reported_3rd_pct,reported_4th_pct,reported_5th_pct
Ansonville Elementary,113,99.5,High,95.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0
Apogee Anson,6,81.0,Low,,,,,,,,,,,,
Deep Creek Christian Academy,16,89.8,Low,,,,,,,,,,,,
Lilesville Elementary,240,96.8,High,95.0,97.0,91.0,95.0,100.0,100.0,,97.0,91.0,95.0,100.0,100.0
Morven Elementary,173,96.1,High,95.0,96.0,100.0,87.0,95.0,100.0,,96.0,100.0,87.0,,100.0
Peachland-Polkton Elem,496,98.1,High,96.0,98.0,97.0,98.0,98.0,98.0,,98.0,97.0,98.0,98.0,98.0
Wadesboro Primary,409,94.5,Medium,95.0,92.0,95.0,96.0,97.0,88.0,,92.0,95.0,96.0,97.0,88.0
